CLAVE;SITIO;ORGANISMO_DE_CUENCA;ESTADO;MUNICIPIO;CUENCA;CUERPO DE AGUA;TIPO;SUBTIPO;LONGITUD;LATITUD;PERIODO;DBO_mg/L;CALIDAD_DBO;DQO_mg/L;CALIDAD_DQO;SST_mg/L;CALIDAD_SST;COLI_FEC_NMP_100mL;CALIDAD_COLI_FEC;E_COLI_NMP_100mL;CALIDAD_E_COLI;ENTEROC_NMP_100mL;CALIDAD_ENTEROC;OD_PORC;CALIDAD_OD_PORC;OD_PORC_SUP;CALIDAD_OD_PORC_SUP;OD_PORC_MED;CALIDAD_OD_PORC_MED;OD_PORC_FON;CALIDAD_OD_PORC_FON;TOX_D_48_UT;CALIDAD_TOX_D_48;TOX_V_15_UT;CALIDAD_TOX_V_15;TOX_D_48_SUP_UT;CALIDAD TOX_D_48_SUP;TOX_D_48_FON_UT;CALIDAD_TOX_D_48_FON;TOX_FIS_SUP_15_UT;CALIDAD_TOX_FIS_SUP_15;TOX_FIS_FON_15_UT;CALIDAD_TOX_FIS_FON_15;SEMAFORO;CONTAMINANTES;CUMPLE_CON_DBO;CUMPLE_CON_DQO;CUMPLE_CON_SST;CUMPLE_CON_CF;CUMPLE_CON_E_COLI;CUMPLE_CON_ENTEROC;CUMPLE_CON_OD;CUMPLE_CON_TOX;GRUPO
DLMIC1778;CANAL TUXPAN;BALSAS;MICHOACAN DE OCAMPO;ZITACUARO;RIO CUTZAMALA;CANAL TUXPAN;LOTICO;CANAL;-10.042.452;1.939.361;2020;6;Buena calidad;75;Contaminada;26;Buena calidad;24000;Fuertemente contaminada;750;Aceptable;;;88.6;Excelente;;;;;;;<1;No Toxico;<1;No Toxico;;;;;;;;;Rojo;DQO,CF,;SI;NO;SI;NO;SI;ND;SI;SI;LOTICO
DLMIC1779;CANAL FLORIDA;BALSAS;MICHOACAN DE OCAMPO;ZITACUARO;RIO CUTZAMALA;CANAL FLORIDA;LOTICO;CANAL;-10.042.201;1.938.765;2020;6;Buena calidad;73;Contaminada;<10;Excelente;930;Aceptable;150;Buena calidad;;;23.6;Contaminada;;;;;;;<1;No Toxico;<1;No Toxico;;;;;;;;;Rojo;DQO,OD%L,;SI;NO;SI;SI;SI;ND;NO;SI;LOTICO
DLMIC1780M1;CANAL COLORINES;BALSAS;MICHOACAN DE OCAMPO;ZITACUARO;RIO CUTZAMALA;CANAL COLORINES;LOTICO;CANAL;-10.038.826;1.932.619;2020;6;Buena calidad;54;Contaminada;15;Excelente;120;Buena calidad;120;Excelente;;;179.5;Fuertemente contaminada;;;;;;;<1;No Toxico;<1;No Toxico;;;;;;;;;Rojo;DQO,OD%L,;SI;NO;SI;SI;SI;ND;NO;SI;LOTICO
DLMIC1781;PRESA UMECUARO;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;MORELIA;LAGO DE CUITZEO;PRESA UMECUARO;LENTICO;PRESA;-10.125.336;1.953.011;2020;11;Aceptable;58;Contaminada;<10;Excelente;23;Excelente;15;Excelente;;;;;42.6;Aceptable;<10;Fuertemente contaminada;<10;Fuertemente contaminada;;;;;<1;No Toxico;;;<1;No Toxico;;;Rojo;DQO,OD%M,OD%F,;SI;NO;SI;SI;SI;ND;NO;SI;LENTICO
DLMIC1782;PRESA UMECUARO 2;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;MORELIA;LAGO DE CUITZEO;PRESA UMECUARO;LENTICO (HUMEDAL);PRESA;-10.124.780;1.952.578;2020;6;Buena calidad;40;Aceptable;<10;Excelente;460;Aceptable;460;Buena calidad;;;;;99.9;Excelente;;;95.3;Excelente;;;;;<1;No Toxico;;;<1;No Toxico;;;Verde;;SI;SI;SI;SI;SI;ND;SI;SI;LENTICO
DLMIC1783;LAGO DE CAMECUARO 1;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;TANGANCICUARO;RIO DUERO;LAGO DE CAMECUARO;LENTICO;LAGO;-10.220.918;1.990.214;2020;5;Buena calidad;85;Contaminada;<10;Excelente;240;Aceptable;240;Buena calidad;;;;;67;Buena calidad;;;60.9;Buena calidad;;;;;<1;No Toxico;;;<1;No Toxico;;;Rojo;DQO,;SI;NO;SI;SI;SI;ND;SI;SI;LENTICO
DLMIC1784;PRESA COINTZIO ENTRADA;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;MORELIA;LAGO DE CUITZEO;PRESA COINTZIO;LOTICO;RIO;-10.128.781;1.959.461;2020;6;Buena calidad;95;Contaminada;130;Aceptable;280;Aceptable;280;Buena calidad;;;45.2;Aceptable;;;;;;;<1;No Toxico;<1;No Toxico;;;;;;;;;Rojo;DQO,;SI;NO;SI;SI;SI;ND;SI;SI;LOTICO
DLMIC1786;CUITZEO MARIANO ESCOBEDO;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;CUITZEO;LAGO DE CUITZEO;LAGO DE CUITZEO;LENTICO (HUMEDAL);LAGO;-10.108.208;1.995.703;2020;61;Contaminada;508;Fuertemente contaminada;270;Contaminada;2400;Contaminada;1100;Fuertemente contaminada;;;;;27.7;Contaminada;;;;;;;;;<1;No Toxico;;;<1;No Toxico;;;Rojo;DBO,DQO,SST,CF,E_COLI,OD%S,;NO;NO;NO;NO;NO;ND;NO;SI;LENTICO
DLMIC1791;CUITZEO FRENTE CUITZEO;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;CUITZEO;LAGO DE CUITZEO;LAGO DE CUITZEO;LENTICO (HUMEDAL);LAGO;-10.113.985;1.992.565;2020;287;Fuertemente contaminada;698;Fuertemente contaminada;1250;Fuertemente contaminada;460;Aceptable;240;Buena calidad;;;;;;;;;;;;;;;<1;No Toxico;;;<1;No Toxico;;;Rojo;DBO,DQO,SST,;NO;NO;NO;SI;SI;ND;ND;SI;LENTICO
DLMIC1792;LAGO DE CUITZEO 8;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;COPANDARO;LAGO DE CUITZEO;LAGO DE CUITZEO;LENTICO (HUMEDAL);LAGO;-10.113.134;1.993.115;2020;159;Fuertemente contaminada;403;Fuertemente contaminada;350;Contaminada;9;Excelente;9;Excelente;;;;;;;;;;;;;;;<1;No Toxico;;;<1;No Toxico;;;Rojo;DBO,DQO,SST,;NO;NO;NO;SI;SI;ND;ND;SI;LENTICO
DLMIC1801;LAGO DE CAMECUARO 2;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;TANGANCICUARO;RIO DUERO;LAGO DE CAMECUARO;LENTICO;LAGO;-10.221.133;1.990.331;2020;5;Buena calidad;44;Contaminada;<10;Excelente;43;Excelente;43;Excelente;;;;;70.1;Excelente;;;59.9;Buena calidad;;;;;<1;No Toxico;;;<1;No Toxico;;;Rojo;DQO,;SI;NO;SI;SI;SI;ND;SI;SI;LENTICO
DLMIC1803;LAGO DE CAMECUARO 3;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;TANGANCICUARO;RIO DUERO;LAGO DE CAMECUARO;LENTICO;LAGO;-10.220.572;1.991.097;2020;5;Buena calidad;41;Contaminada;16;Excelente;460;Aceptable;460;Buena calidad;;;;;75.2;Excelente;;;;;;;;;<1;No Toxico;;;<1;No Toxico;;;Rojo;DQO,;SI;NO;SI;SI;SI;ND;SI;SI;LENTICO
